event_id,name,url,start_at,end_at,timezone,location_type,city,sublocality,country,latitude,longitude,cover_url,guest_count,hosts,calendar_name,calendar_slug,event_type,visibility,waitlist_active,source,tags
evt-eVnVbg7VUnb8v3D,Slow Dating Montréal #149 (Gay 35-55) 💛,https://lu.ma/slow-dating-149,2026-06-20T18:30:00.000Z,2026-06-20T21:30:00.000Z,America/Toronto,offline,Montréal,Old Montreal,Canada,45.5070765,-73.553516,https://images.lumacdn.com/uploads/ry/86af4014-8594-4112-b907-d21989a68957.jpg,0,Together Club,Together Club,togetherclub,independent,public,False,snowball,
evt-r1scSm1o0XNraTe,Audiencers Festival - Montréal,https://lu.ma/audiencers-festival-montreal,2026-06-25T13:00:00.000Z,2026-06-25T22:00:00.000Z,America/Toronto,offline,Montréal,Ville-Marie,Canada,45.520351,-73.549453,https://images.lumacdn.com/event-covers/6f/4de07398-fabe-4247-8c4f-78488a4afe72.png,0,Audiencers,Audiencers,audiencers,independent,public,False,featured,
evt-f6Vw7nbRL6GsWwi,Book Crush - Dating #9 (Hétéro 30-45) 💛 📚,https://lu.ma/book-crush-9,2026-06-25T22:30:00.000Z,2026-06-26T01:30:00.000Z,America/Toronto,offline,Montréal,La Petite-Patrie,Canada,45.538429,-73.60776299999999,https://images.lumacdn.com/uploads/is/2febb489-ed1b-4540-8f1d-fb8ac82c837a.jpg,0,Together Club,Together Club,togetherclub,independent,public,False,featured,
evt-3k2etabRbHH7m0a,Open House #2 feat. Louzink,https://lu.ma/open-house-2,2026-06-26T22:00:00.000Z,2026-06-27T02:00:00.000Z,America/Toronto,offline,Montréal,La Petite-Patrie,Canada,45.538429,-73.60776299999999,https://images.lumacdn.com/uploads/39/46b156f6-9a7f-4613-8e55-b5c02d48d0de.jpg,0,Together Club,Together Club,togetherclub,independent,public,False,snowball,Arts & Culture
evt-O0wkOBfXdefRNi8,Slow Sunday *Montréal* #39 - Café Oui Mais Non,https://lu.ma/Slow-sunday-39,2026-06-28T18:00:00.000Z,2026-06-28T20:00:00.000Z,America/Toronto,offline,Montréal,Park Extension,Canada,45.539699999999996,-73.6306833,https://images.lumacdn.com/uploads/il/c1b8ee30-53b4-4726-968b-9357d770879a.png,0,Together Club,Together Club,togetherclub,independent,public,False,snowball,
evt-xpguAEtBEzkhZde,Picnic & Tote Bag Painting,https://lu.ma/t2u589p5,2026-06-28T18:30:00.000Z,2026-06-28T20:30:00.000Z,America/Toronto,offline,Montréal,Le Plateau-Mont-Royal,Canada,45.5273219,-73.5703556,https://images.lumacdn.com/uploads/zm/424c8b86-345a-4ecc-abb4-80dfbe4b2ae3.jpg,0,"Social Crafts, Moisés Paul",Social Crafts,socialcrafts,independent,public,False,snowball,Arts & Culture
evt-yUBjLopFvc6jV00,Female Founders Networking Breakfast - Cocktail Edition - June 29th,https://lu.ma/n9v6nk6d,2026-06-29T21:00:00.000Z,2026-06-30T00:00:00.000Z,America/Toronto,offline,Montréal,Mile-Ex,Canada,45.53,-73.6125,https://images.lumacdn.com/uploads/oh/41ffcce4-314a-4387-bb1a-36a679b6f384.jpg,12,"Géraldine Jippé, Bobbi Bidochka",Bloossoming House,bloossominghouse,independent,public,False,featured,
evt-E9F4eim9VY0Y2kb,Workshop: Intro aux vins natures 🍷,https://lu.ma/workshop-vins-natures,2026-06-30T22:30:00.000Z,2026-07-01T01:00:00.000Z,America/Toronto,offline,Montréal,La Petite-Patrie,Canada,45.538429,-73.60776299999999,https://images.lumacdn.com/uploads/yg/9366619b-2144-40e4-a63b-54f7a14882ec.jpg,0,"Together Club, Espace Together, Maude Gendron",Together Club,togetherclub,independent,public,False,snowball,Food & Drink
evt-DkAni6dOTPAsUgE,Female Founders Networking Breakfast,https://lu.ma/mwmy8gke,2026-07-09T11:00:00.000Z,2026-07-09T12:30:00.000Z,America/Toronto,offline,Montreal,,Canada,45.5025,-73.5675,https://images.lumacdn.com/uploads/co/10d5ddbb-8b62-45a0-9e49-7567f149d8f3.png,0,"Géraldine Jippé, Liesl Barrell, Joelle Irvine, Alexanne, Pamela",Bloossoming House,bloossominghouse,independent,public,False,snowball,Tech
evt-G0xxowM7ugGuu3h,Table Ronde with Julie Poitras-Saulnier (LOOP Mission),https://lu.ma/wh9ch2tg,2026-07-15T21:30:00.000Z,2026-07-15T23:30:00.000Z,America/Toronto,offline,Montreal,Downtown Montreal,Canada,45.503073,-73.5632229,https://images.lumacdn.com/event-covers/53/165e4c65-63b8-4ded-b55d-d1ddb497a992.png,76,Antoine Riachi,Table Ronde,tableronde,independent,public,False,featured,
evt-fTzN7eLNlD4ARpI,Table Ronde with Anie Rouleau (The Unscented Company),https://lu.ma/zhjyioo4,2026-08-25T21:30:00.000Z,2026-08-25T23:30:00.000Z,America/Toronto,offline,Montreal,Golden Square Mile,Canada,45.5019469,-73.5733886,https://images.lumacdn.com/uploads/hr/4a9ad5e0-f61e-419d-b11d-d67ecd309de2.png,7,Antoine Riachi,Table Ronde,tableronde,independent,public,False,snowball,"Climate, Tech"
evt-1pLi2Qdop6tI1Br,Table Ronde with Henri-Charles Machalani (Mistplay),https://lu.ma/gdbdno3t,2026-09-15T21:30:00.000Z,2026-09-15T23:30:00.000Z,America/Toronto,offline,Montreal,International District,Canada,45.500844799999996,-73.5615942,https://images.lumacdn.com/event-covers/dz/62657631-62fe-4e97-b071-68a25d2bfc2a.png,43,Antoine Riachi,Table Ronde,tableronde,independent,public,False,snowball,Tech
